날짜,시도,시군구,지표,거래구분,값
2024-06-24,전남,강진군,가격지수,매매,95.451
2024-07-01,전남,강진군,가격지수,매매,95.451
2024-07-08,전남,강진군,가격지수,매매,95.451
2024-07-15,전남,강진군,가격지수,매매,95.451
2024-07-22,전남,강진군,가격지수,매매,95.451
2024-07-29,전남,강진군,가격지수,매매,96.341
2024-08-05,전남,강진군,가격지수,매매,96.5295
2024-08-12,전남,강진군,가격지수,매매,96.5295
2024-08-19,전남,강진군,가격지수,매매,96.5295
2024-08-26,전남,강진군,가격지수,매매,96.627
2024-09-02,전남,강진군,가격지수,매매,96.627
2024-09-09,전남,강진군,가격지수,매매,96.627
2024-09-23,전남,강진군,가격지수,매매,96.627
2024-09-30,전남,강진군,가격지수,매매,96.627
2024-10-07,전남,강진군,가격지수,매매,96.627
2024-10-14,전남,강진군,가격지수,매매,96.627
2024-10-21,전남,강진군,가격지수,매매,96.627
2024-10-28,전남,강진군,가격지수,매매,97.4282
2024-11-04,전남,강진군,가격지수,매매,98.1059
2024-11-11,전남,강진군,가격지수,매매,98.1059
2024-11-18,전남,강진군,가격지수,매매,98.0018
2024-11-25,전남,강진군,가격지수,매매,98.0018
2024-12-02,전남,강진군,가격지수,매매,98.0018
2024-12-09,전남,강진군,가격지수,매매,98.2934
2024-12-16,전남,강진군,가격지수,매매,98.2934
2024-12-23,전남,강진군,가격지수,매매,98.2934
2024-12-30,전남,강진군,가격지수,매매,98.2934
2025-01-06,전남,강진군,가격지수,매매,98.2934
2025-01-13,전남,강진군,가격지수,매매,98.2934
2025-01-20,전남,강진군,가격지수,매매,98.2934
2025-02-03,전남,강진군,가격지수,매매,98.2934
2025-02-10,전남,강진군,가격지수,매매,98.2934
2025-02-17,전남,강진군,가격지수,매매,98.2934
2025-02-24,전남,강진군,가격지수,매매,98.2934
2025-03-03,전남,강진군,가격지수,매매,98.2934
2025-03-10,전남,강진군,가격지수,매매,98.2934
2025-03-17,전남,강진군,가격지수,매매,98.2934
2025-03-24,전남,강진군,가격지수,매매,98.2934
2025-03-31,전남,강진군,가격지수,매매,98.2934
2025-04-07,전남,강진군,가격지수,매매,98.2934
2025-04-14,전남,강진군,가격지수,매매,98.2934
2025-04-21,전남,강진군,가격지수,매매,98.2934
2025-04-28,전남,강진군,가격지수,매매,98.2934
2025-05-05,전남,강진군,가격지수,매매,98.2934
2025-05-12,전남,강진군,가격지수,매매,98.2934
2025-05-19,전남,강진군,가격지수,매매,98.2934
2025-05-26,전남,강진군,가격지수,매매,98.2934
2025-06-02,전남,강진군,가격지수,매매,98.045
2025-06-09,전남,강진군,가격지수,매매,98.045
2025-06-16,전남,강진군,가격지수,매매,98.045
2025-06-23,전남,강진군,가격지수,매매,97.961
2025-06-30,전남,강진군,가격지수,매매,97.961
2025-07-07,전남,강진군,가격지수,매매,97.961
2025-07-14,전남,강진군,가격지수,매매,97.961
2025-07-21,전남,강진군,가격지수,매매,97.961
2025-07-28,전남,강진군,가격지수,매매,98.1723
2025-08-04,전남,강진군,가격지수,매매,98.1723
2025-08-11,전남,강진군,가격지수,매매,98.2475
2025-08-18,전남,강진군,가격지수,매매,98.2475
2025-08-25,전남,강진군,가격지수,매매,98.2475
2025-09-01,전남,강진군,가격지수,매매,98.2475
2025-09-08,전남,강진군,가격지수,매매,98.2475
2025-09-15,전남,강진군,가격지수,매매,98.0874
2025-09-22,전남,강진군,가격지수,매매,98.0874
2025-09-29,전남,강진군,가격지수,매매,98.9848
2025-10-13,전남,강진군,가격지수,매매,98.9848
2025-10-20,전남,강진군,가격지수,매매,99.0631
2025-10-27,전남,강진군,가격지수,매매,99.0631
2025-11-03,전남,강진군,가격지수,매매,99.1054
2025-11-10,전남,강진군,가격지수,매매,99.9718
2025-11-17,전남,강진군,가격지수,매매,100.0
2025-11-24,전남,강진군,가격지수,매매,100.0
2025-12-01,전남,강진군,가격지수,매매,100.0
2025-12-08,전남,강진군,가격지수,매매,100.0
2025-12-15,전남,강진군,가격지수,매매,100.0
2025-12-22,전남,강진군,가격지수,매매,100.0
2025-12-29,전남,강진군,가격지수,매매,100.0
2026-01-05,전남,강진군,가격지수,매매,100.0
2026-01-12,전남,강진군,가격지수,매매,100.0
2026-01-19,전남,강진군,가격지수,매매,100.0
2026-01-26,전남,강진군,가격지수,매매,100.0
2026-02-02,전남,강진군,가격지수,매매,100.0
2026-02-09,전남,강진군,가격지수,매매,100.0
2026-02-23,전남,강진군,가격지수,매매,100.0
2026-03-02,전남,강진군,가격지수,매매,100.0
2026-03-09,전남,강진군,가격지수,매매,100.434
2026-03-16,전남,강진군,가격지수,매매,100.434
2026-03-23,전남,강진군,가격지수,매매,100.434
2026-03-30,전남,강진군,가격지수,매매,100.434
2026-04-06,전남,강진군,가격지수,매매,100.434
2026-04-13,전남,강진군,가격지수,매매,100.771
2026-04-20,전남,강진군,가격지수,매매,101.1442
2026-04-27,전남,강진군,가격지수,매매,101.1442
2026-05-04,전남,강진군,가격지수,매매,101.1442
2026-05-11,전남,강진군,가격지수,매매,101.1442
2026-05-18,전남,강진군,가격지수,매매,101.9208
2026-05-25,전남,강진군,가격지수,매매,103.3951
2026-06-01,전남,강진군,가격지수,매매,103.6847
2026-06-08,전남,강진군,가격지수,매매,103.6847
2026-06-15,전남,강진군,가격지수,매매,103.6847
2026-06-22,전남,강진군,가격지수,매매,103.6847
2024-06-24,전남,고흥군,가격지수,매매,99.2955
2024-07-01,전남,고흥군,가격지수,매매,99.2955
2024-07-08,전남,고흥군,가격지수,매매,99.2955
2024-07-15,전남,고흥군,가격지수,매매,99.2955
2024-07-22,전남,고흥군,가격지수,매매,99.2955
2024-07-29,전남,고흥군,가격지수,매매,99.2955
2024-08-05,전남,고흥군,가격지수,매매,99.2955
2024-08-12,전남,고흥군,가격지수,매매,99.2955
2024-08-19,전남,고흥군,가격지수,매매,99.2955
2024-08-26,전남,고흥군,가격지수,매매,99.2955
2024-09-02,전남,고흥군,가격지수,매매,99.2955
2024-09-09,전남,고흥군,가격지수,매매,99.2955
2024-09-23,전남,고흥군,가격지수,매매,99.2955
2024-09-30,전남,고흥군,가격지수,매매,99.2955
2024-10-07,전남,고흥군,가격지수,매매,99.2955
2024-10-14,전남,고흥군,가격지수,매매,99.2955
2024-10-21,전남,고흥군,가격지수,매매,99.2955
2024-10-28,전남,고흥군,가격지수,매매,97.8679
2024-11-04,전남,고흥군,가격지수,매매,95.6831
2024-11-11,전남,고흥군,가격지수,매매,95.6831
2024-11-18,전남,고흥군,가격지수,매매,95.6831
2024-11-25,전남,고흥군,가격지수,매매,95.6831
2024-12-02,전남,고흥군,가격지수,매매,95.6831
2024-12-09,전남,고흥군,가격지수,매매,95.6831
2024-12-16,전남,고흥군,가격지수,매매,95.6831
2024-12-23,전남,고흥군,가격지수,매매,95.6831
2024-12-30,전남,고흥군,가격지수,매매,95.6831
2025-01-06,전남,고흥군,가격지수,매매,95.6831
2025-01-13,전남,고흥군,가격지수,매매,95.6831
2025-01-20,전남,고흥군,가격지수,매매,95.6831
2025-02-03,전남,고흥군,가격지수,매매,96.506
2025-02-10,전남,고흥군,가격지수,매매,96.506
2025-02-17,전남,고흥군,가격지수,매매,96.506
2025-02-24,전남,고흥군,가격지수,매매,96.506
2025-03-03,전남,고흥군,가격지수,매매,96.506
2025-03-10,전남,고흥군,가격지수,매매,96.6729
2025-03-17,전남,고흥군,가격지수,매매,96.6729
2025-03-24,전남,고흥군,가격지수,매매,96.6729
2025-03-31,전남,고흥군,가격지수,매매,96.6729
2025-04-07,전남,고흥군,가격지수,매매,96.6729
2025-04-14,전남,고흥군,가격지수,매매,96.6729
2025-04-21,전남,고흥군,가격지수,매매,96.6729
2025-04-28,전남,고흥군,가격지수,매매,96.6729
2025-05-05,전남,고흥군,가격지수,매매,96.6729
2025-05-12,전남,고흥군,가격지수,매매,96.6729
2025-05-19,전남,고흥군,가격지수,매매,96.6729
2025-05-26,전남,고흥군,가격지수,매매,96.6729
2025-06-02,전남,고흥군,가격지수,매매,96.6729
2025-06-09,전남,고흥군,가격지수,매매,96.6729
2025-06-16,전남,고흥군,가격지수,매매,96.6729
2025-06-23,전남,고흥군,가격지수,매매,96.6729
2025-06-30,전남,고흥군,가격지수,매매,96.6729
2025-07-07,전남,고흥군,가격지수,매매,96.6729
2025-07-14,전남,고흥군,가격지수,매매,96.6729
2025-07-21,전남,고흥군,가격지수,매매,96.6729
2025-07-28,전남,고흥군,가격지수,매매,97.3196
2025-08-04,전남,고흥군,가격지수,매매,97.3196
2025-08-11,전남,고흥군,가격지수,매매,97.3196
2025-08-18,전남,고흥군,가격지수,매매,97.3196
2025-08-25,전남,고흥군,가격지수,매매,97.3196
2025-09-01,전남,고흥군,가격지수,매매,97.3196
2025-09-08,전남,고흥군,가격지수,매매,99.3978
2025-09-15,전남,고흥군,가격지수,매매,99.3978
2025-09-22,전남,고흥군,가격지수,매매,99.3978
2025-09-29,전남,고흥군,가격지수,매매,100.5235
2025-10-13,전남,고흥군,가격지수,매매,100.5235
2025-10-20,전남,고흥군,가격지수,매매,100.5235
2025-10-27,전남,고흥군,가격지수,매매,100.5235
2025-11-03,전남,고흥군,가격지수,매매,99.3187
2025-11-10,전남,고흥군,가격지수,매매,99.3187
2025-11-17,전남,고흥군,가격지수,매매,99.3187
2025-11-24,전남,고흥군,가격지수,매매,99.3187
2025-12-01,전남,고흥군,가격지수,매매,99.3187
2025-12-08,전남,고흥군,가격지수,매매,99.3187
2025-12-15,전남,고흥군,가격지수,매매,99.3187
2025-12-22,전남,고흥군,가격지수,매매,100.0
2025-12-29,전남,고흥군,가격지수,매매,100.0
2026-01-05,전남,고흥군,가격지수,매매,100.0
2026-01-12,전남,고흥군,가격지수,매매,100.0
2026-01-19,전남,고흥군,가격지수,매매,100.0
2026-01-26,전남,고흥군,가격지수,매매,100.0
2026-02-02,전남,고흥군,가격지수,매매,100.0
2026-02-09,전남,고흥군,가격지수,매매,100.0
2026-02-23,전남,고흥군,가격지수,매매,100.0
2026-03-02,전남,고흥군,가격지수,매매,100.0
2026-03-09,전남,고흥군,가격지수,매매,100.6236
2026-03-16,전남,고흥군,가격지수,매매,100.6236
2026-03-23,전남,고흥군,가격지수,매매,100.6236
2026-03-30,전남,고흥군,가격지수,매매,100.6236
2026-04-06,전남,고흥군,가격지수,매매,100.6236
2026-04-13,전남,고흥군,가격지수,매매,100.6236
2026-04-20,전남,고흥군,가격지수,매매,100.6236
2026-04-27,전남,고흥군,가격지수,매매,100.6236
2026-05-04,전남,고흥군,가격지수,매매,100.6236
2026-05-11,전남,고흥군,가격지수,매매,100.6236
2026-05-18,전남,고흥군,가격지수,매매,100.6236
2026-05-25,전남,고흥군,가격지수,매매,100.6236
2026-06-01,전남,고흥군,가격지수,매매,100.6236
2026-06-08,전남,고흥군,가격지수,매매,100.6236
2026-06-15,전남,고흥군,가격지수,매매,100.6236
2026-06-22,전남,고흥군,가격지수,매매,101.0846
2024-06-24,전남,곡성군,가격지수,매매,99.9355
2024-07-01,전남,곡성군,가격지수,매매,99.9355
2024-07-08,전남,곡성군,가격지수,매매,99.9355
2024-07-15,전남,곡성군,가격지수,매매,99.9355
2024-07-22,전남,곡성군,가격지수,매매,99.9355
2024-07-29,전남,곡성군,가격지수,매매,100.0
2024-08-05,전남,곡성군,가격지수,매매,100.0
2024-08-12,전남,곡성군,가격지수,매매,100.0
2024-08-19,전남,곡성군,가격지수,매매,100.0
2024-08-26,전남,곡성군,가격지수,매매,100.0
2024-09-02,전남,곡성군,가격지수,매매,100.0
2024-09-09,전남,곡성군,가격지수,매매,100.0
2024-09-23,전남,곡성군,가격지수,매매,100.0
2024-09-30,전남,곡성군,가격지수,매매,100.0
2024-10-07,전남,곡성군,가격지수,매매,100.0
2024-10-14,전남,곡성군,가격지수,매매,100.0
2024-10-21,전남,곡성군,가격지수,매매,100.0
2024-10-28,전남,곡성군,가격지수,매매,100.0
2024-11-04,전남,곡성군,가격지수,매매,100.0
2024-11-11,전남,곡성군,가격지수,매매,100.0
2024-11-18,전남,곡성군,가격지수,매매,100.0
2024-11-25,전남,곡성군,가격지수,매매,100.0
2024-12-02,전남,곡성군,가격지수,매매,100.0
2024-12-09,전남,곡성군,가격지수,매매,100.0
2024-12-16,전남,곡성군,가격지수,매매,100.0
2024-12-23,전남,곡성군,가격지수,매매,100.0
2024-12-30,전남,곡성군,가격지수,매매,100.0
2025-01-06,전남,곡성군,가격지수,매매,100.0
2025-01-13,전남,곡성군,가격지수,매매,100.0
2025-01-20,전남,곡성군,가격지수,매매,100.0
2025-02-03,전남,곡성군,가격지수,매매,100.0
2025-02-10,전남,곡성군,가격지수,매매,100.0
2025-02-17,전남,곡성군,가격지수,매매,100.0
2025-02-24,전남,곡성군,가격지수,매매,100.0
2025-03-03,전남,곡성군,가격지수,매매,100.0
2025-03-10,전남,곡성군,가격지수,매매,100.0
2025-03-17,전남,곡성군,가격지수,매매,100.0
2025-03-24,전남,곡성군,가격지수,매매,100.0
2025-03-31,전남,곡성군,가격지수,매매,100.0
2025-04-07,전남,곡성군,가격지수,매매,100.0
2025-04-14,전남,곡성군,가격지수,매매,100.0
2025-04-21,전남,곡성군,가격지수,매매,100.0
2025-04-28,전남,곡성군,가격지수,매매,100.0
2025-05-05,전남,곡성군,가격지수,매매,100.0
2025-05-12,전남,곡성군,가격지수,매매,100.0
2025-05-19,전남,곡성군,가격지수,매매,100.0
2025-05-26,전남,곡성군,가격지수,매매,100.0
2025-06-02,전남,곡성군,가격지수,매매,100.0
2025-06-09,전남,곡성군,가격지수,매매,100.0
2025-06-16,전남,곡성군,가격지수,매매,100.0
2025-06-23,전남,곡성군,가격지수,매매,100.0
2025-06-30,전남,곡성군,가격지수,매매,100.0
2025-07-07,전남,곡성군,가격지수,매매,100.0
2025-07-14,전남,곡성군,가격지수,매매,100.0
2025-07-21,전남,곡성군,가격지수,매매,100.0
2025-07-28,전남,곡성군,가격지수,매매,100.0
2025-08-04,전남,곡성군,가격지수,매매,100.0
2025-08-11,전남,곡성군,가격지수,매매,100.0
2025-08-18,전남,곡성군,가격지수,매매,100.0
2025-08-25,전남,곡성군,가격지수,매매,100.0
2025-09-01,전남,곡성군,가격지수,매매,100.0
2025-09-08,전남,곡성군,가격지수,매매,100.0
2025-09-15,전남,곡성군,가격지수,매매,100.0
2025-09-22,전남,곡성군,가격지수,매매,100.0
2025-09-29,전남,곡성군,가격지수,매매,100.0
2025-10-13,전남,곡성군,가격지수,매매,100.0
2025-10-20,전남,곡성군,가격지수,매매,100.0
2025-10-27,전남,곡성군,가격지수,매매,100.0
2025-11-03,전남,곡성군,가격지수,매매,100.0
2025-11-10,전남,곡성군,가격지수,매매,100.0
2025-11-17,전남,곡성군,가격지수,매매,100.0
2025-11-24,전남,곡성군,가격지수,매매,100.0
2025-12-01,전남,곡성군,가격지수,매매,100.0
2025-12-08,전남,곡성군,가격지수,매매,100.0
2025-12-15,전남,곡성군,가격지수,매매,100.0
2025-12-22,전남,곡성군,가격지수,매매,100.0
2025-12-29,전남,곡성군,가격지수,매매,100.0
2026-01-05,전남,곡성군,가격지수,매매,100.0
2026-01-12,전남,곡성군,가격지수,매매,100.0
2026-01-19,전남,곡성군,가격지수,매매,100.0
2026-01-26,전남,곡성군,가격지수,매매,100.0
2026-02-02,전남,곡성군,가격지수,매매,100.0
2026-02-09,전남,곡성군,가격지수,매매,100.0
2026-02-23,전남,곡성군,가격지수,매매,100.0
2026-03-02,전남,곡성군,가격지수,매매,100.0
2026-03-09,전남,곡성군,가격지수,매매,100.0
2026-03-16,전남,곡성군,가격지수,매매,100.0
2026-03-23,전남,곡성군,가격지수,매매,100.0
2026-03-30,전남,곡성군,가격지수,매매,100.0
2026-04-06,전남,곡성군,가격지수,매매,100.0
2026-04-13,전남,곡성군,가격지수,매매,100.0
2026-04-20,전남,곡성군,가격지수,매매,101.5162
2026-04-27,전남,곡성군,가격지수,매매,102.2846
2026-05-04,전남,곡성군,가격지수,매매,102.2846
2026-05-11,전남,곡성군,가격지수,매매,102.2846
2026-05-18,전남,곡성군,가격지수,매매,102.2846
2026-05-25,전남,곡성군,가격지수,매매,102.2846
2026-06-01,전남,곡성군,가격지수,매매,102.2846
2026-06-08,전남,곡성군,가격지수,매매,102.2846
2026-06-15,전남,곡성군,가격지수,매매,102.2846
2026-06-22,전남,곡성군,가격지수,매매,102.2846
2024-06-24,전남,광양시,가격지수,매매,105.2423
2024-07-01,전남,광양시,가격지수,매매,105.2322
2024-07-08,전남,광양시,가격지수,매매,105.215
2024-07-15,전남,광양시,가격지수,매매,105.2152
2024-07-22,전남,광양시,가격지수,매매,105.203
2024-07-29,전남,광양시,가격지수,매매,105.1388
2024-08-05,전남,광양시,가격지수,매매,105.1239
2024-08-12,전남,광양시,가격지수,매매,105.0986
2024-08-19,전남,광양시,가격지수,매매,105.0497
2024-08-26,전남,광양시,가격지수,매매,105.0444
2024-09-02,전남,광양시,가격지수,매매,104.9672
2024-09-09,전남,광양시,가격지수,매매,104.9589
2024-09-23,전남,광양시,가격지수,매매,104.9482
2024-09-30,전남,광양시,가격지수,매매,104.9147
2024-10-07,전남,광양시,가격지수,매매,104.8649
2024-10-14,전남,광양시,가격지수,매매,104.7964
2024-10-21,전남,광양시,가격지수,매매,104.782
2024-10-28,전남,광양시,가격지수,매매,104.6975
2024-11-04,전남,광양시,가격지수,매매,104.6802
2024-11-11,전남,광양시,가격지수,매매,104.6751
2024-11-18,전남,광양시,가격지수,매매,104.6003
2024-11-25,전남,광양시,가격지수,매매,104.5282
2024-12-02,전남,광양시,가격지수,매매,104.5199
2024-12-09,전남,광양시,가격지수,매매,104.449
2024-12-16,전남,광양시,가격지수,매매,104.4347
2024-12-23,전남,광양시,가격지수,매매,104.2657
2024-12-30,전남,광양시,가격지수,매매,104.2657
2025-01-06,전남,광양시,가격지수,매매,104.1356
2025-01-13,전남,광양시,가격지수,매매,103.9036
2025-01-20,전남,광양시,가격지수,매매,103.8162
2025-02-03,전남,광양시,가격지수,매매,103.3739
2025-02-10,전남,광양시,가격지수,매매,103.3078
2025-02-17,전남,광양시,가격지수,매매,103.0874
2025-02-24,전남,광양시,가격지수,매매,102.8084
2025-03-03,전남,광양시,가격지수,매매,102.7824
2025-03-10,전남,광양시,가격지수,매매,102.7783
2025-03-17,전남,광양시,가격지수,매매,102.6861
2025-03-24,전남,광양시,가격지수,매매,102.691
2025-03-31,전남,광양시,가격지수,매매,102.691
2025-04-07,전남,광양시,가격지수,매매,102.6019
2025-04-14,전남,광양시,가격지수,매매,102.3892
2025-04-21,전남,광양시,가격지수,매매,102.2114
2025-04-28,전남,광양시,가격지수,매매,102.0051
2025-05-05,전남,광양시,가격지수,매매,102.0016
2025-05-12,전남,광양시,가격지수,매매,101.7953
2025-05-19,전남,광양시,가격지수,매매,101.7688
2025-05-26,전남,광양시,가격지수,매매,101.6651
2025-06-02,전남,광양시,가격지수,매매,101.6563
2025-06-09,전남,광양시,가격지수,매매,101.6254
2025-06-16,전남,광양시,가격지수,매매,101.6254
2025-06-23,전남,광양시,가격지수,매매,101.6254
2025-06-30,전남,광양시,가격지수,매매,101.5893
2025-07-07,전남,광양시,가격지수,매매,101.4946
2025-07-14,전남,광양시,가격지수,매매,101.4459
2025-07-21,전남,광양시,가격지수,매매,101.4025
2025-07-28,전남,광양시,가격지수,매매,101.3555
2025-08-04,전남,광양시,가격지수,매매,101.3555
2025-08-11,전남,광양시,가격지수,매매,101.2269
2025-08-18,전남,광양시,가격지수,매매,101.0131
2025-08-25,전남,광양시,가격지수,매매,100.9032
2025-09-01,전남,광양시,가격지수,매매,100.9043
2025-09-08,전남,광양시,가격지수,매매,100.8719
2025-09-15,전남,광양시,가격지수,매매,100.7363
2025-09-22,전남,광양시,가격지수,매매,100.5254
2025-09-29,전남,광양시,가격지수,매매,100.5158
2025-10-13,전남,광양시,가격지수,매매,100.5283
2025-10-20,전남,광양시,가격지수,매매,100.4647
2025-10-27,전남,광양시,가격지수,매매,100.4364
2025-11-03,전남,광양시,가격지수,매매,100.4298
2025-11-10,전남,광양시,가격지수,매매,100.4124
2025-11-17,전남,광양시,가격지수,매매,100.4018
2025-11-24,전남,광양시,가격지수,매매,100.4018
2025-12-01,전남,광양시,가격지수,매매,100.4028
2025-12-08,전남,광양시,가격지수,매매,100.3868
2025-12-15,전남,광양시,가격지수,매매,100.2952
2025-12-22,전남,광양시,가격지수,매매,100.1564
2025-12-29,전남,광양시,가격지수,매매,100.0706
2026-01-05,전남,광양시,가격지수,매매,100.0
2026-01-12,전남,광양시,가격지수,매매,100.0
2026-01-19,전남,광양시,가격지수,매매,99.8949
2026-01-26,전남,광양시,가격지수,매매,99.8672
2026-02-02,전남,광양시,가격지수,매매,99.8512
2026-02-09,전남,광양시,가격지수,매매,99.8452
2026-02-23,전남,광양시,가격지수,매매,99.8442
2026-03-02,전남,광양시,가격지수,매매,99.8456
2026-03-09,전남,광양시,가격지수,매매,99.8977
2026-03-16,전남,광양시,가격지수,매매,99.885
2026-03-23,전남,광양시,가격지수,매매,99.8428
2026-03-30,전남,광양시,가격지수,매매,99.9433
2026-04-06,전남,광양시,가격지수,매매,99.9628
2026-04-13,전남,광양시,가격지수,매매,99.9793
2026-04-20,전남,광양시,가격지수,매매,99.9372
2026-04-27,전남,광양시,가격지수,매매,99.9377
2026-05-04,전남,광양시,가격지수,매매,99.9102
2026-05-11,전남,광양시,가격지수,매매,99.9133
2026-05-18,전남,광양시,가격지수,매매,99.9268
2026-05-25,전남,광양시,가격지수,매매,99.9018
2026-06-01,전남,광양시,가격지수,매매,99.9018
2026-06-08,전남,광양시,가격지수,매매,99.6932
2026-06-15,전남,광양시,가격지수,매매,99.5163
2026-06-22,전남,광양시,가격지수,매매,99.4617
2024-06-24,전남,구례군,가격지수,매매,94.9665
2024-07-01,전남,구례군,가격지수,매매,94.9665
2024-07-08,전남,구례군,가격지수,매매,94.9665
2024-07-15,전남,구례군,가격지수,매매,94.9665
2024-07-22,전남,구례군,가격지수,매매,94.9665
2024-07-29,전남,구례군,가격지수,매매,94.9665
2024-08-05,전남,구례군,가격지수,매매,94.9665
2024-08-12,전남,구례군,가격지수,매매,94.9665
2024-08-19,전남,구례군,가격지수,매매,94.9665
2024-08-26,전남,구례군,가격지수,매매,94.9665
2024-09-02,전남,구례군,가격지수,매매,94.9665
2024-09-09,전남,구례군,가격지수,매매,94.9665
2024-09-23,전남,구례군,가격지수,매매,94.9665
2024-09-30,전남,구례군,가격지수,매매,94.9665
2024-10-07,전남,구례군,가격지수,매매,94.9665
2024-10-14,전남,구례군,가격지수,매매,94.9665
2024-10-21,전남,구례군,가격지수,매매,94.9665
2024-10-28,전남,구례군,가격지수,매매,94.9665
2024-11-04,전남,구례군,가격지수,매매,94.9665
2024-11-11,전남,구례군,가격지수,매매,94.9665
2024-11-18,전남,구례군,가격지수,매매,94.9665
2024-11-25,전남,구례군,가격지수,매매,94.9665
2024-12-02,전남,구례군,가격지수,매매,94.9665
2024-12-09,전남,구례군,가격지수,매매,94.9665
2024-12-16,전남,구례군,가격지수,매매,94.9665
2024-12-23,전남,구례군,가격지수,매매,94.9665
2024-12-30,전남,구례군,가격지수,매매,94.9665
2025-01-06,전남,구례군,가격지수,매매,94.9665
2025-01-13,전남,구례군,가격지수,매매,94.9665
2025-01-20,전남,구례군,가격지수,매매,94.9665
2025-02-03,전남,구례군,가격지수,매매,94.9665
2025-02-10,전남,구례군,가격지수,매매,94.9665
2025-02-17,전남,구례군,가격지수,매매,97.5898
2025-02-24,전남,구례군,가격지수,매매,97.5898
2025-03-03,전남,구례군,가격지수,매매,100.0
2025-03-10,전남,구례군,가격지수,매매,100.0
2025-03-17,전남,구례군,가격지수,매매,100.0
2025-03-24,전남,구례군,가격지수,매매,100.0
2025-03-31,전남,구례군,가격지수,매매,100.0
2025-04-07,전남,구례군,가격지수,매매,100.0
2025-04-14,전남,구례군,가격지수,매매,100.0
2025-04-21,전남,구례군,가격지수,매매,100.0
2025-04-28,전남,구례군,가격지수,매매,100.0
2025-05-05,전남,구례군,가격지수,매매,100.0
2025-05-12,전남,구례군,가격지수,매매,100.0
2025-05-19,전남,구례군,가격지수,매매,100.0
2025-05-26,전남,구례군,가격지수,매매,100.0
2025-06-02,전남,구례군,가격지수,매매,100.0
2025-06-09,전남,구례군,가격지수,매매,100.0
2025-06-16,전남,구례군,가격지수,매매,100.0
2025-06-23,전남,구례군,가격지수,매매,100.0
2025-06-30,전남,구례군,가격지수,매매,100.0
2025-07-07,전남,구례군,가격지수,매매,100.0
2025-07-14,전남,구례군,가격지수,매매,100.0
2025-07-21,전남,구례군,가격지수,매매,100.0
2025-07-28,전남,구례군,가격지수,매매,100.0
2025-08-04,전남,구례군,가격지수,매매,100.0
2025-08-11,전남,구례군,가격지수,매매,100.0
2025-08-18,전남,구례군,가격지수,매매,100.0
2025-08-25,전남,구례군,가격지수,매매,100.0
2025-09-01,전남,구례군,가격지수,매매,100.0
2025-09-08,전남,구례군,가격지수,매매,100.0
2025-09-15,전남,구례군,가격지수,매매,100.0
2025-09-22,전남,구례군,가격지수,매매,100.0
2025-09-29,전남,구례군,가격지수,매매,100.0
2025-10-13,전남,구례군,가격지수,매매,100.0
2025-10-20,전남,구례군,가격지수,매매,100.0
2025-10-27,전남,구례군,가격지수,매매,100.0
2025-11-03,전남,구례군,가격지수,매매,100.0
2025-11-10,전남,구례군,가격지수,매매,100.0
2025-11-17,전남,구례군,가격지수,매매,100.0
2025-11-24,전남,구례군,가격지수,매매,100.0
2025-12-01,전남,구례군,가격지수,매매,100.0
2025-12-08,전남,구례군,가격지수,매매,100.0
2025-12-15,전남,구례군,가격지수,매매,100.0
2025-12-22,전남,구례군,가격지수,매매,100.0
2025-12-29,전남,구례군,가격지수,매매,100.0
2026-01-05,전남,구례군,가격지수,매매,100.0
2026-01-12,전남,구례군,가격지수,매매,100.0
2026-01-19,전남,구례군,가격지수,매매,100.0
2026-01-26,전남,구례군,가격지수,매매,100.0
2026-02-02,전남,구례군,가격지수,매매,100.0
2026-02-09,전남,구례군,가격지수,매매,100.0
2026-02-23,전남,구례군,가격지수,매매,100.0
2026-03-02,전남,구례군,가격지수,매매,100.0
2026-03-09,전남,구례군,가격지수,매매,100.0
2026-03-16,전남,구례군,가격지수,매매,100.0
2026-03-23,전남,구례군,가격지수,매매,100.0
2026-03-30,전남,구례군,가격지수,매매,100.0
2026-04-06,전남,구례군,가격지수,매매,100.0
2026-04-13,전남,구례군,가격지수,매매,100.0
2026-04-20,전남,구례군,가격지수,매매,100.0
2026-04-27,전남,구례군,가격지수,매매,100.0
2026-05-04,전남,구례군,가격지수,매매,100.0
2026-05-11,전남,구례군,가격지수,매매,100.0
2026-05-18,전남,구례군,가격지수,매매,100.0
2026-05-25,전남,구례군,가격지수,매매,100.0
2026-06-01,전남,구례군,가격지수,매매,100.0
2026-06-08,전남,구례군,가격지수,매매,100.0
2026-06-15,전남,구례군,가격지수,매매,100.0
2026-06-22,전남,구례군,가격지수,매매,100.0
2024-06-24,전남,나주시,가격지수,매매,105.6577
2024-07-01,전남,나주시,가격지수,매매,105.6541
2024-07-08,전남,나주시,가격지수,매매,105.3593
2024-07-15,전남,나주시,가격지수,매매,105.2111
2024-07-22,전남,나주시,가격지수,매매,105.072
2024-07-29,전남,나주시,가격지수,매매,104.4978
2024-08-05,전남,나주시,가격지수,매매,104.2821
2024-08-12,전남,나주시,가격지수,매매,104.196
2024-08-19,전남,나주시,가격지수,매매,104.1937
2024-08-26,전남,나주시,가격지수,매매,104.1497
2024-09-02,전남,나주시,가격지수,매매,104.0804
2024-09-09,전남,나주시,가격지수,매매,104.0804
2024-09-23,전남,나주시,가격지수,매매,103.9453
